title,collected_date,published_date,tags,image_urls,urls,article_url
Polícia prendeu 14 pessoas durante a busca por fugitivos de Mossoró; relembre os casos,2026-05-18 18:01:19,,,[],"['https://www.cartacapital.com.br/sociedade/pf-recaptura-os-dois-fugitivos-da-penitenciaria-federal-de-mossoro/', 'https://www.cartacapital.com.br/cartaexpressa/1600-km-tres-estados-o-trajeto-dos-fugitivos-de-mossoro-em-50-dias-de-fuga/', 'https://www.cartacapital.com.br/sociedade/o-que-se-sabe-sobre-a-fuga-em-um-presidio-de-seguranca-maxima-no-rio-grande-do-norte/', 'https://www.cartacapital.com.br/cartaexpressa/policia-prende-irmao-de-fugitivo-da-penitenciaria-federal-de-mossoro/', 'https://www.cartacapital.com.br/cartaexpressa/pf-prende-suspeitos-de-ajudar-os-fugitivos-do-presidio-federal-de-mossoro/', 'https://www.cartacapital.com.br/justica/pf-prende-homem-que-abrigou-fugitivos-do-presidio-de-mossoro-por-8-dias/', 'https://www.cartacapital.com.br/sociedade/pf-prende-mais-um-suspeito-de-auxiliar-auxiliar-a-fuga-de-presos-de-mossoro/', 'https://www.cartacapital.com.br/sociedade/policia-apreende-fuzil-celulares-e-dinheiro-com-fugitivos-de-mossoro/', 'https://www.cartacapital.com.br/justica/fugitivos-de-mossoro-tiveram-ajuda-de-faccao-e-iriam-para-o-exterior-diz-lewandowski/', 'https://www.cartacapital.com.br/tag/ricardo-lewandowski/', 'https://www.cartacapital.com.br/tag/comando-vermelho/?utm_source=cartacapital.com.br&utm_medium=tags&utm_content=Comando%20Vermelho']",https://www.cartacapital.com.br/justica/policia-prendeu-14-pessoas-durante-a-busca-por-fugitivos-de-mossoro-relembre-os-casos/
Ex-presidente de Honduras é declarado culpado de narcotráfico pela Justiça dos EUA,2026-05-18 18:01:20,,,[],"['https://www.cartacapital.com.br/tag/Juan-Orlando-Hernandez/', 'https://www.cartacapital.com.br/tag/narcotrafico/', 'https://www.cartacapital.com.br/tag/estados-unidos/', 'https://www.cartacapital.com.br/tag/Donald-Trump/']",https://www.cartacapital.com.br/mundo/ex-presidente-de-honduras-e-declarado-culpado-de-narcotrafico-pela-justica-dos-eua/
Juízes e políticos do Equador presos por supostos vínculos com narcotráfico,2026-05-18 18:01:21,,,[],"['https://www.cartacapital.com.br/?s=equador', 'https://www.cartacapital.com.br/mundo/equador-prende-9-mil-em-43-dias-de-conflito-armado/', 'https://www.cartacapital.com.br/?s=daniel+noboa']",https://www.cartacapital.com.br/mundo/juizes-e-politicos-do-equador-presos-por-supostos-vinculos-com-narcotrafico/
Justiça de São Paulo recebe denúncia contra Cariani por suspeita de tráfico de drogas,2026-05-18 18:01:23,,,[],"['https://www.cartacapital.com.br/tag/sao-paulo/', 'https://www.cartacapital.com.br/tag/renato-cariani']",https://www.cartacapital.com.br/justica/justica-de-sao-paulo-recebe-denuncia-contra-cariani-por-suspeita-de-trafico-de-drogas/
Operação da PF investiga tráfico internacional e adoção clandestina de crianças brasileiras em países europeus,2026-05-18 18:01:25,,,[],['https://www.cartacapital.com.br/tag/policia-federal/'],https://www.cartacapital.com.br/cartaexpressa/operacao-da-pf-investiga-trafico-internacional-e-adocao-clandestina-de-criancas-brasileiras-em-paises-europeus/
Acusações de tráfico são baseadas em ações sem mandado em residências,2026-05-18 18:01:27,,,[],"['https://www.cartacapital.com.br/?s=tr%C3%A1fico+de+drogas', 'https://www.cartacapital.com.br/?s=fgv', 'https://www.cartacapital.com.br/?s=racismo']",https://www.cartacapital.com.br/politica/acusacoes-de-trafico-sao-baseadas-em-acoes-sem-mandado-em-residencias/
A reação do influencer Renato Cariani após ser indiciado por tráfico de drogas,2026-05-18 18:01:28,,,[],"['https://www.cartacapital.com.br/justica/influencer-renato-cariani-e-indiciado-por-trafico-de-drogas-e-outros-crimes/', 'https://www.cartacapital.com.br/?s=cariani', 'https://www.cartacapital.com.br/justica/influenciador-e-alvo-de-operacao-da-pf-contra-trafico-e-desvio-de-quimicos-para-a-producao-de-crack/', 'https://www.cartacapital.com.br/justica/deposito-em-dinheiro-vivo-desencadeou-investigacao-contra-empresa-de-renato-cariani/']",https://www.cartacapital.com.br/sociedade/a-reacao-do-influencer-renato-cariani-apos-ser-indiciado-por-trafico-de-drogas/
O que se sabe sobre a operação contra tráfico que teve como alvo Renato Cariani,2026-05-18 18:01:29,,,[],['https://www.cartacapital.com.br/tag/policia-federal/'],https://www.cartacapital.com.br/justica/influenciador-e-alvo-de-operacao-da-pf-contra-trafico-e-desvio-de-quimicos-para-a-producao-de-crack/
Mais de 200 pessoas condenadas na Itália em julgamento contra a máfia,2026-05-18 18:01:31,,,[],['https://www.cartacapital.com.br/tag/italia/'],https://www.cartacapital.com.br/mundo/mais-de-200-pessoas-condenadas-na-italia-em-julgamento-contra-a-mafia/
Ministério da Justiça muda regras de acesso à pasta após visita da ‘dama do tráfico’,2026-05-18 18:01:32,,,[],"['https://www.cartacapital.com.br/?s=minist%C3%A9rio+da+justi%C3%A7a', 'https://www.cartacapital.com.br/tag/elias-vaz/', 'https://www.cartacapital.com.br/politica/erro-meu-nao-ter-feito-verificacao-mais-profunda-diz-secretario-sobre-dama-do-trafico-em-reuniao/', 'https://www.cartacapital.com.br/wp-content/uploads/2023/11/PORTARIA-Nº-1601-DE-13-DE-NOVEMBRO-DE-2023.pdf']",https://www.cartacapital.com.br/politica/ministerio-da-justica-muda-regras-de-acesso-a-pasta-apos-visita-da-dama-do-trafico/
